county Name ,county,population
Polk County,Polk,499440
Linn County,Linn,229173
Scott County,Scott,174465
Johnson County,Johnson,155354
Black Hawk County,Black Hawk,132406
Woodbury County,Woodbury,103513
Story County,Story,99795
Dubuque County,Dubuque,96544
Dallas County,Dallas,96110
Pottawattamie County,Pottawattamie,93579
Warren County,Warren,52964
Clinton County,Clinton,45750
Muscatine County,Muscatine,43003
Cerro Gordo County,Cerro Gordo,41947
Marshall County,Marshall,39647
Des Moines County,Des Moines,38774
Jasper County,Jasper,37471
Webster County,Webster,35545
Wapello County,Wapello,35401
Sioux County,Sioux,35045
Marion County,Marion,34011
Lee County,Lee,33679
Boone County,Boone,26086
Benton County,Benton,25660
Bremer County,Bremer,25197
Plymouth County,Plymouth,25103
Washington County,Washington,21909
Mahaska County,Mahaska,21606
Buchanan County,Buchanan,21285
Jones County,Jones,20864
Henry County,Henry,20081
Carroll County,Carroll,19916
Winneshiek County,Winneshiek,19825
Fayette County,Fayette,19564
Jackson County,Jackson,19560
Buena Vista County,Buena Vista,19418
Poweshiek County,Poweshiek,18971
Cedar County,Cedar,18779
Jefferson County,Jefferson,18677
Clayton County,Clayton,17368
Crawford County,Crawford,17236
Dickinson County,Dickinson,17113
Delaware County,Delaware,16891
Madison County,Madison,16687
Tama County,Tama,16602
Hardin County,Hardin,16590
Iowa County,Iowa,16187
Clay County,Clay,16096
Floyd County,Floyd,15761
Page County,Page,15221
Mills County,Mills,15083
Kossuth County,Kossuth,14784
Hamilton County,Hamilton,14718
Butler County,Butler,14453
Harrison County,Harrison,14144
O'Brien County,Obrien,13896
Allamakee County,Allamakee,13888
Appanoose County,Appanoose,12585
Wright County,Wright,12572
Cass County,Cass,12538
Grundy County,Grundy,12268
Union County,Union,12115
Lyon County,Lyon,11839
Chickasaw County,Chickasaw,11820
Shelby County,Shelby,11580
Cherokee County,Cherokee,11303
Louisa County,Louisa,11101
Guthrie County,Guthrie,10826
Hancock County,Hancock,10590
Mitchell County,Mitchell,10567
Winnebago County,Winnebago,10378
Keokuk County,Keokuk,10377
Franklin County,Franklin,10054
Montgomery County,Montgomery,9787
Clarke County,Clarke,9607
Calhoun County,Calhoun,9599
Sac County,Sac,9565
Humboldt County,Humboldt,9485
Howard County,Howard,9123
Davis County,Davis,9069
Greene County,Greene,9005
Emmet County,Emmet,8931
Lucas County,Lucas,8835
Palo Alto County,Palo Alto,8669
Monona County,Monona,8545
Decatur County,Decatur,7784
Monroe County,Monroe,7740
Worth County,Worth,7437
Adair County,Adair,7083
Fremont County,Fremont,7075
Ida County,Ida,6811
Van Buren County,Van Buren,6732
Pocahontas County,Pocahontas,6540
Taylor County,Taylor,6277
Wayne County,Wayne,6231
Osceola County,Osceola,6042
Audubon County,Audubon,5386
Ringgold County,Ringgold,4846
Adams County,Adams,3609
