FIPS,county_name,county,month,day,year,population,primary_point
19191,Winneshiek County,Winneshiek,4,1,1990,20847,POINT (-91.8437074 43.2906746)
19001,Adair County,Adair,4,1,1990,8409,POINT (-94.4709413 41.3307464)
19075,Grundy County,Grundy,4,1,1990,12029,POINT (-92.7914177 42.4018651)
19149,Plymouth County,Plymouth,4,1,1990,23388,POINT (-96.2140431 42.7378346)
19153,Polk County,Polk,4,1,1990,327140,POINT (-93.5735335 41.6855048)
19147,Palo Alto County,Palo Alto,4,1,1990,10669,POINT (-94.6781371 43.0820643)
19083,Hardin County,Hardin,4,1,1990,19094,POINT (-93.2404025 42.3838803)
19121,Madison County,Madison,4,1,1990,12483,POINT (-94.0155619 41.3307142)
19091,Humboldt County,Humboldt,4,1,1990,10756,POINT (-94.2071868 42.7764686)
19005,Allamakee County,Allamakee,4,1,1990,13855,POINT (-91.3780923 43.2842838)
19133,Monona County,Monona,4,1,1990,10034,POINT (-95.9599235 42.0516663)
19063,Emmet County,Emmet,4,1,1990,11569,POINT (-94.6784803 43.3780225)
19049,Dallas County,Dallas,4,1,1990,29755,POINT (-94.0397374 41.6848862)
19127,Marshall County,Marshall,4,1,1990,38276,POINT (-92.9987706 42.0358499)
19035,Cherokee County,Cherokee,4,1,1990,14098,POINT (-95.6238055 42.7356226)
19019,Buchanan County,Buchanan,4,1,1990,20844,POINT (-91.8378392 42.4707777)
19181,Warren County,Warren,4,1,1990,36033,POINT (-93.5613594 41.3343735)
19089,Howard County,Howard,4,1,1990,9809,POINT (-92.3171989 43.3567673)
19125,Marion County,Marion,4,1,1990,30001,POINT (-93.0994367 41.3344515)
19073,Greene County,Greene,4,1,1990,10045,POINT (-94.3968356 42.0362394)
19183,Washington County,Washington,4,1,1990,19612,POINT (-91.7178676 41.335591)
19009,Audubon County,Audubon,4,1,1990,7334,POINT (-94.9058222 41.6845893)
19093,Ida County,Ida,4,1,1990,8365,POINT (-95.5134962 42.3868747)
19015,Boone County,Boone,4,1,1990,25186,POINT (-93.931671 42.0365493)
19197,Wright County,Wright,4,1,1990,14269,POINT (-93.7351465 42.7331189)
19053,Decatur County,Decatur,4,1,1990,8338,POINT (-93.7862815 40.7376827)
19141,Obrien County,Obrien,4,1,1990,15444,POINT (-95.6248784 43.0837527)
19069,Franklin County,Franklin,4,1,1990,11364,POINT (-93.262473 42.7325458)
19077,Guthrie County,Guthrie,4,1,1990,10935,POINT (-94.501055 41.6837548)
19067,Floyd County,Floyd,4,1,1990,17058,POINT (-92.7890033 43.0599208)
19061,Dubuque County,Dubuque,4,1,1990,86403,POINT (-90.8824564 42.468832)
19003,Adams County,Adams,4,1,1990,4866,POINT (-94.6991849 41.0289839)
19025,Calhoun County,Calhoun,4,1,1990,11508,POINT (-94.6404136 42.3851848)
19131,Mitchell County,Mitchell,4,1,1990,10928,POINT (-92.7890315 43.3564124)
19135,Monroe County,Monroe,4,1,1990,8114,POINT (-92.8689877 41.0297826)
19123,Mahaska County,Mahaska,4,1,1990,21532,POINT (-92.6409094 41.3352035)
19187,Webster County,Webster,4,1,1990,40342,POINT (-94.1817881 42.4279662)
19041,Clay County,Clay,4,1,1990,17585,POINT (-95.1509194 43.0825804)
19159,Ringgold County,Ringgold,4,1,1990,5420,POINT (-94.2439719 40.7352023)
19111,Lee County,Lee,4,1,1990,38687,POINT (-91.479264 40.6419764)
19189,Winnebago County,Winnebago,4,1,1990,12122,POINT (-93.7341955 43.3775678)
19185,Wayne County,Wayne,4,1,1990,7067,POINT (-93.3273639 40.7394702)
19101,Jefferson County,Jefferson,4,1,1990,16310,POINT (-91.9488774 41.0317596)
19011,Benton County,Benton,4,1,1990,22429,POINT (-92.0656912 42.0801864)
19103,Johnson County,Johnson,4,1,1990,96119,POINT (-91.5880849 41.6715511)
